
=== Training Session Started for FP16_Baseline at 2026-06-08 16:52:14 ===
[W1A16_Native] [Epoch 028/100] Loss: 0.06782 | Time/Epoch: 12.4s | ETA: 14 mins
[W1A16_Native] [Epoch 029/100] Loss: 0.06697 | Time/Epoch: 12.4s | ETA: 14 mins
[W1A16_Native] [Epoch 030/100] Loss: 0.06832 | Time/Epoch: 12.4s | ETA: 14 mins
[W1A16_Native] [Epoch 031/100] Loss: 0.06762 | Time/Epoch: 12.8s | ETA: 14 mins
[W1A16_Native] [Epoch 032/100] Loss: 0.06543 | Time/Epoch: 10.3s | ETA: 13 mins
[W1A16_Native] [Epoch 033/100] Loss: 0.06786 | Time/Epoch: 10.3s | ETA: 13 mins
[W1A16_Native] [Epoch 034/100] Loss: 0.06523 | Time/Epoch: 10.3s | ETA: 12 mins
[W1A16_Native] [Epoch 035/100] Loss: 0.06477 | Time/Epoch: 10.4s | ETA: 11 mins
[W1A16_Native] [Epoch 036/100] Loss: 0.06486 | Time/Epoch: 10.3s | ETA: 11 mins
[W1A16_Native] [Epoch 037/100] Loss: 0.06769 | Time/Epoch: 10.3s | ETA: 10 mins
[W1A16_Native] [Epoch 038/100] Loss: 0.06322 | Time/Epoch: 10.3s | ETA: 10 mins
[W1A16_Native] [Epoch 039/100] Loss: 0.06508 | Time/Epoch: 10.3s | ETA: 10 mins
[W1A16_Native] [Epoch 040/100] Loss: 0.06451 | Time/Epoch: 10.3s | ETA: 10 mins
[W1A16_Native] [Epoch 041/100] Loss: 0.06603 | Time/Epoch: 10.4s | ETA: 10 mins
[W1A16_Native] [Epoch 042/100] Loss: 0.06258 | Time/Epoch: 10.4s | ETA: 9 mins
[W1A16_Native] [Epoch 043/100] Loss: 0.06288 | Time/Epoch: 10.3s | ETA: 9 mins
[W1A16_Native] [Epoch 044/100] Loss: 0.06752 | Time/Epoch: 10.3s | ETA: 9 mins
[W1A16_Native] [Epoch 045/100] Loss: 0.06679 | Time/Epoch: 10.3s | ETA: 9 mins
[W1A16_Native] [Epoch 046/100] Loss: 0.06510 | Time/Epoch: 10.3s | ETA: 9 mins
[W1A16_Native] [Epoch 047/100] Loss: 0.06245 | Time/Epoch: 10.3s | ETA: 9 mins
[W1A16_Native] [Epoch 048/100] Loss: 0.06278 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 049/100] Loss: 0.06509 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 050/100] Loss: 0.06487 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 051/100] Loss: 0.06525 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 052/100] Loss: 0.84297 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 053/100] Loss: 0.11859 | Time/Epoch: 10.3s | ETA: 8 mins
[W1A16_Native] [Epoch 054/100] Loss: 0.11177 | Time/Epoch: 10.3s | ETA: 7 mins
[W1A16_Native] [Epoch 055/100] Loss: 0.10096 | Time/Epoch: 10.3s | ETA: 7 mins
[W1A16_Native] [Epoch 056/100] Loss: 0.10299 | Time/Epoch: 10.3s | ETA: 7 mins
[W1A16_Native] [Epoch 057/100] Loss: 0.09831 | Time/Epoch: 10.3s | ETA: 7 mins
[W1A16_Native] [Epoch 058/100] Loss: 0.09709 | Time/Epoch: 10.4s | ETA: 7 mins
[W1A16_Native] [Epoch 059/100] Loss: 0.09449 | Time/Epoch: 10.3s | ETA: 7 mins
[W1A16_Native] [Epoch 060/100] Loss: 0.09533 | Time/Epoch: 11.8s | ETA: 7 mins
[W1A16_Native] [Epoch 061/100] Loss: 0.09255 | Time/Epoch: 10.8s | ETA: 6 mins
[W1A16_Native] [Epoch 062/100] Loss: 0.09196 | Time/Epoch: 10.6s | ETA: 6 mins
[W1A16_Native] [Epoch 063/100] Loss: 0.08842 | Time/Epoch: 11.1s | ETA: 6 mins
[W1A16_Native] [Epoch 064/100] Loss: 0.08972 | Time/Epoch: 10.9s | ETA: 6 mins
[W1A16_Native] [Epoch 065/100] Loss: 0.08766 | Time/Epoch: 10.5s | ETA: 6 mins
[W1A16_Native] [Epoch 066/100] Loss: 0.08677 | Time/Epoch: 10.5s | ETA: 6 mins
[W1A16_Native] [Epoch 067/100] Loss: 0.08773 | Time/Epoch: 10.4s | ETA: 5 mins
[W1A16_Native] [Epoch 068/100] Loss: 0.08096 | Time/Epoch: 10.4s | ETA: 5 mins
[W1A16_Native] [Epoch 069/100] Loss: 0.08404 | Time/Epoch: 10.4s | ETA: 5 mins
[W1A16_Native] [Epoch 070/100] Loss: 0.08129 | Time/Epoch: 10.4s | ETA: 5 mins
[W1A16_Native] [Epoch 071/100] Loss: 0.08463 | Time/Epoch: 10.4s | ETA: 5 mins
[W1A16_Native] [Epoch 072/100] Loss: 0.07967 | Time/Epoch: 10.5s | ETA: 4 mins
[W1A16_Native] [Epoch 073/100] Loss: 0.07851 | Time/Epoch: 10.4s | ETA: 4 mins
[W1A16_Native] [Epoch 074/100] Loss: 0.07866 | Time/Epoch: 10.4s | ETA: 4 mins
[W1A16_Native] [Epoch 075/100] Loss: 0.07715 | Time/Epoch: 10.5s | ETA: 4 mins
[W1A16_Native] [Epoch 076/100] Loss: 0.07790 | Time/Epoch: 10.4s | ETA: 4 mins
[W1A16_Native] [Epoch 077/100] Loss: 0.08390 | Time/Epoch: 10.4s | ETA: 3 mins
[W1A16_Native] [Epoch 078/100] Loss: 0.07504 | Time/Epoch: 10.3s | ETA: 3 mins
[W1A16_Native] [Epoch 079/100] Loss: 0.07709 | Time/Epoch: 10.4s | ETA: 3 mins
[W1A16_Native] [Epoch 080/100] Loss: 0.07875 | Time/Epoch: 10.4s | ETA: 3 mins
[W1A16_Native] [Epoch 081/100] Loss: 0.07394 | Time/Epoch: 10.4s | ETA: 3 mins
[W1A16_Native] [Epoch 082/100] Loss: 0.07340 | Time/Epoch: 10.4s | ETA: 3 mins
[W1A16_Native] [Epoch 083/100] Loss: 0.07435 | Time/Epoch: 10.4s | ETA: 2 mins
[W1A16_Native] [Epoch 084/100] Loss: 0.07275 | Time/Epoch: 10.4s | ETA: 2 mins
[W1A16_Native] [Epoch 085/100] Loss: 0.07230 | Time/Epoch: 10.4s | ETA: 2 mins
[W1A16_Native] [Epoch 086/100] Loss: 0.07395 | Time/Epoch: 10.7s | ETA: 2 mins
[W1A16_Native] [Epoch 087/100] Loss: 0.07384 | Time/Epoch: 11.2s | ETA: 2 mins
[W1A16_Native] [Epoch 088/100] Loss: 0.07424 | Time/Epoch: 11.3s | ETA: 2 mins
[W1A16_Native] [Epoch 089/100] Loss: 0.07088 | Time/Epoch: 11.3s | ETA: 2 mins
[W1A16_Native] [Epoch 090/100] Loss: 0.07121 | Time/Epoch: 11.4s | ETA: 1 mins
[W1A16_Native] [Epoch 091/100] Loss: 0.07071 | Time/Epoch: 12.9s | ETA: 1 mins
[W1A16_Native] [Epoch 092/100] Loss: 0.07263 | Time/Epoch: 12.7s | ETA: 1 mins
[W1A16_Native] [Epoch 093/100] Loss: 0.07090 | Time/Epoch: 12.6s | ETA: 1 mins
[W1A16_Native] [Epoch 094/100] Loss: 0.06876 | Time/Epoch: 12.6s | ETA: 1 mins
[W1A16_Native] [Epoch 095/100] Loss: 0.06885 | Time/Epoch: 12.7s | ETA: 1 mins
[W1A16_Native] [Epoch 096/100] Loss: 0.06778 | Time/Epoch: 10.9s | ETA: 49s
[W1A16_Native] [Epoch 097/100] Loss: 0.06784 | Time/Epoch: 10.4s | ETA: 35s
[W1A16_Native] [Epoch 098/100] Loss: 0.06934 | Time/Epoch: 10.4s | ETA: 22s
[W1A16_Native] [Epoch 099/100] Loss: 0.06648 | Time/Epoch: 10.4s | ETA: 10s
[W1A16_Native] [Epoch 100/100] Loss: 0.06955 | Time/Epoch: 10.4s | ETA: 0s

=== Training Session Started for W1A1_Native at 2026-06-08 17:29:23 ===
[W1A1_Native] [Epoch 001/100] Loss: 0.22882 | Time/Epoch: 11.0s | ETA: 18 mins
[W1A1_Native] [Epoch 002/100] Loss: 0.13660 | Time/Epoch: 10.9s | ETA: 17 mins
[W1A1_Native] [Epoch 003/100] Loss: 0.11976 | Time/Epoch: 10.9s | ETA: 17 mins
[W1A1_Native] [Epoch 004/100] Loss: 0.11409 | Time/Epoch: 10.9s | ETA: 17 mins
[W1A1_Native] [Epoch 005/100] Loss: 0.10695 | Time/Epoch: 11.0s | ETA: 17 mins
[W1A1_Native] [Epoch 006/100] Loss: 0.10199 | Time/Epoch: 10.9s | ETA: 17 mins
[W1A1_Native] [Epoch 007/100] Loss: 0.10117 | Time/Epoch: 10.9s | ETA: 16 mins
[W1A1_Native] [Epoch 008/100] Loss: 0.09700 | Time/Epoch: 11.0s | ETA: 16 mins
[W1A1_Native] [Epoch 009/100] Loss: 0.09423 | Time/Epoch: 10.9s | ETA: 16 mins
[W1A1_Native] [Epoch 010/100] Loss: 0.09217 | Time/Epoch: 10.9s | ETA: 16 mins
